processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBSP13463-19	LN994935	10193751			Mined from GenBank, NCBI		BOLD:ADX0340	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Italy													
GBSP13466-19	LN994938	10193754			Mined from GenBank, NCBI		BOLD:ADX2737	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Russia													
GBSP13469-19	LN994941	10193757			Mined from GenBank, NCBI		BOLD:ADX0337	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Russia													
GBSP13470-19	LN994942	10193758			Mined from GenBank, NCBI		BOLD:ADX0337	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Russia													
GBSP13471-19	LN994943	10193759			Mined from GenBank, NCBI		BOLD:ADX2739	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Turkey													
GBSP13579-19	MK119246	10193867			Mined from GenBank, NCBI		BOLD:ADX2270	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939057	Corynosoma australe																																	United States													
GBSP13601-19	MH282838	10193889			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Bosnia and Herzegovina													
GBSP13642-19	MG602459	10193930			Mined from GenBank, NCBI		BOLD:ADX8797	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	939133	Profilicollis novaezelandensis																									-46.42	168.337							New Zealand													
GBSP13650-19	MG602467	10193938			Mined from GenBank, NCBI		BOLD:ADX8797	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	939133	Profilicollis novaezelandensis																									-45.8392	170.649							New Zealand													
GBSP16824-19	LC465329	10887985		LC465329	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939060	Corynosoma strumosum																																	Japan													
GBSP16830-19	LC465335	10887991		LC465335	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939062	Corynosoma villosum																																	Japan													
GBSP16863-19	LC465368	10888024		LC465368	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939060	Corynosoma strumosum																																	Japan													
GBSP16925-19	MH004409	10888086		MH004409	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	531772	Cavisomidae			966349	Filisoma	966350	Filisoma caudata																																	Brazil													
GBSP3353-11	AM039854	2353343	AM039854	AM039854	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Ukonvesi											
GBSP5077-13	KC549463	3417090		KC549463	Mined from GenBank, NCBI		BOLD:ACG5913	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus	535657	Polymorphus brevis																	C						Isolate:362	IsolationSource:Alloophorus robustus	19.6833	-101.883							Mexico		Lago Zacapu, Michoacan											
GBSP8590-13	JN830867	3634496	JN830867	JN830867	Mined from GenBank, NCBI		BOLD:ACI1105	11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
GBSP8594-13	JN830863	3634500	JN830863	JN830863	Mined from GenBank, NCBI			11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
GBSP8610-13	JN830847	3634516	JN830847	JN830847	Mined from GenBank, NCBI			11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
GBSP8626-13	JN830831	3634532	JN830831	JN830831	Mined from GenBank, NCBI			11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
GBSP8658-13	JN830799	3634564	JN830799	JN830799	Mined from GenBank, NCBI			11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
GBSP8666-13	JN830791	3634572	JN830791	JN830791	Mined from GenBank, NCBI			11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae																																																				
MPB001-12	1354	2393353	251	2311	Sri Ramaswamy Memorial University			11	Acanthocephala																																													India													
OPPQI077-17	BIOUG34740-B02	8087148	BIOUG34740-B02	GMP#04536	Centre for Biodiversity Genomics		BOLD:AAG8863	20	Arthropoda	82	Insecta	133	Hemiptera	87528	Coreidae	87529	Coreinae	376206	Acanthocephala					Kate Perez	BIN Taxonomy Match (Dec 2017)			Vouchered:Registered Collection	Tissue		CBG Collections Staff				Sumac forest	BIOUG:FRONTENAC-PP	Malaise trap				Forest			SEQUELBIN-8278|Frontenac PP|Read:5		44.5178	-76.5394			176				Canada	Ontario	Sydenham	Frontenac Provincial Park										
PACDE001-18	A-Ahs1-01	8539923		A-Ahs1-01	University of Duisburg-Essen		BOLD:ADL1185	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Dana Shilton													in Echinogammarus berilloni	Cystacanth	51.6423	7.92913							Germany		Hamm	Rhine (Lippe)	Ahse									
PACDE022-18	A-Sil-04	8539944		A-Sil-04	University of Duisburg-Essen		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Dana Shilton													in Gammarus fossarum type B	Cystacanth	51.6592	7.17332							Germany		Marl	Rhine (Lippe)	Silvertbach									
PACDE037-18	A-Haa-03	8539959		A-Haa-03	University of Duisburg-Essen		BOLD:ADL1077	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik													in Gammarus pulex	Cystacanth	51.5626	6.95572							Germany		Gladbeck	Rhine (Emscher)	Haarbach									
PACDE052-18	A-Ost-04	8539974		A-Ost-04	University of Duisburg-Essen		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik													in Gammarus fossarum type B	Cystacanth	51.5311	7.25243							Germany		Herne	Rhine (Emscher)	Ostbach									
PACDE067-18	A-Bor-10	8539989		A-Bor-10	University of Duisburg-Essen		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik, Alexander Weigand													in Gammarus fossarum type B	Cystacanth	51.4326	7.35155							Germany		Witten	Rhine (Ruhr)	Borbach									
PACDE070-18	A-Mut-02	8539992		A-Mut-02	University of Duisburg-Essen		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Alexander Weigand													in Gammarus fossarum type B	Cystacanth	51.4173	7.31598							Germany		Witten	Rhine (Ruhr)	Muttenbach									
PACDE072-18	A-Rum-01	8539994		A-Rum-01	University of Duisburg-Essen			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik, Alexander Weigand													in Gammarus fossarum type B	Cystacanth	51.4247	6.90689							Germany		Muelheim an der Ruhr	Rhine (Ruhr)	Rumbach									
PACDE090-18	A-Rum-35	8540012		A-Rum-35	University of Duisburg-Essen		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik, Alexander Weigand													in Gammarus fossarum type B	Cystacanth	51.4247	6.90689							Germany		Muelheim an der Ruhr	Rhine (Ruhr)	Rumbach									
PACDE097-18	F2-6	8540019		F2-6	Karlsruhe Institute of Technology, Zoological Institute		BOLD:ADL1077	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus roeselii	Cystacanth, 16.-18.06.2014	49.0229	8.31878							Germany		Karlsruhe	Rhine (Federbach)	Federbach									
PACDE110-18	F2-13	8540032		F2-13	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus roeselii	Cystacanth, 16.-18.06.2014	49.0229	8.31878							Germany		Karlsruhe	Rhine (Federbach)	Federbach									
PACDE111-18	F4-6	8540033		F4-6	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus roeselii	Cystacanth, 16.-18.06.2014	49.0229	8.31878							Germany		Karlsruhe	Rhine (Federbach)	Federbach									
PACDE127-18	c6	8540049		c6	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus roeselii	Cystacanth	49.026	8.31045							Germany		Karlsruhe	Rhine	Knielinger See									
PACDE133-18	c92	8540055		c92	Karlsruhe Institute of Technology, Zoological Institute		BOLD:ADL1077	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus roeselii	Cystacanth	49.026	8.31045							Germany		Karlsruhe	Rhine	Knielinger See									
PACDE139-18	ALC16	8540061		ALC16	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Echinogammarus sp.	Cystacanth	48.9814	8.24588							Germany		Neuburg am Rhein	Rhine (Lauter)	Lauter									
PACDE143-18	90Lau	8540065		90Lau	Karlsruhe Institute of Technology, Zoological Institute		BOLD:ADL1184	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Gammarus fossarum type B	Cystacanth	48.9814	8.24588							Germany		Neuburg am Rhein	Rhine (Lauter)	Lauter									
PACDE161-18	Fra62	8540083		Fra62	Karlsruhe Institute of Technology, Zoological Institute		BOLD:ADL1185	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Echinogammarus berilloni	Cystacanth	48.3164	2.69411							France		Grez-sur-Loing (Nemours)	Seine	Loing									
PACDE173-18	Fra94	8540095		Fra94	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Echinogammarus berilloni	Cystacanth	48.3164	2.69411							France		Grez-sur-Loing (Nemours)	Seine	Loing									
PACDE177-18	Fra101	8540099		Fra101	Karlsruhe Institute of Technology, Zoological Institute			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Maike Zittel													in Echinogammarus berilloni	Cystacanth	48.3164	2.69411							France		Grez-sur-Loing (Nemours)	Seine	Loing									
ACANT009-18	FA9-DA02G-1	9495078		FA9-DA02G-1	Naturhistorisches Museum Wien		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	892732	Pomphorhynchus bosniacus			Susanne Reier	morphology			vouchered:registered collection			S. Reier									S			host: Barbus barbus											Austria	Vienna	Danube	Freudenau										
ACANT038-18	Fish34-2	9495107		Fish34-2	Naturhistorisches Museum Wien		BOLD:ACQ5649	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis			Susanne Reier	morphology	Zoega, 1776		vouchered:registered collection			S. Reier							larva		S			host: Alburnoides bipunctatus											Austria	Styria	Sulm	Gleinstaetten										
BBHMA868-12	BIOUG02221-B02	2521434	BIOUG02221-B02	L#11BIOBUS-0204	Centre for Biodiversity Genomics		BOLD:AAG8863	20	Arthropoda	82	Insecta	133	Hemiptera	87528	Coreidae	87529	Coreinae	376206	Acanthocephala					Angela Telfer	BIN Taxonomy Match			Vouchered:Registered Collection			BioBus 2011							A		S				Kissimmee Prairie Preserve SP	hand collecting|90F, clear, no wind	27.588	-81.108	GPS		31				United States	Florida	Kissimmee Prairie Preserve SP	Kissimmee River and surrounding moist prairie										
GBMHH6003-14	KF835302	5171712		KF835302	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																								isolate: ML1																						
GBMHH6035-14	KF835334	5171744		KF835334	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																								isolate: SB4																						
GBMHH6037-14	KF835336	5171746		KF835336	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																								isolate: SC1																						
GBMHH7497-15	KC415004	6177843		KC415004	Mined from GenBank, NCBI		BOLD:ACV8945	11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae	752043	Neoechinorhynchinae	715722	Hebesoma	715723	Hebesoma violentum																							taxon:1410563																							
GBMIN135120-18	LN994965	8736320		LN994965	Mined from GenBank, NCBI		BOLD:AAF1747	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30531	Pomphorhynchus tereticollis					Rudolphi, 1809																												France		Western-Europe	Durance	Le Buech									
GBMIN135131-18	KX702243	8736331		KX702243	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Curinanco											
GBMIN135151-18	KX646766	8736351		KX646766	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Calfuco											
GBMIN135153-18	KX646782	8736353		KX646782	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Chaihuin											
GBMNA12672-19	KT447549	9629670		KT447549	Mined from GenBank, NCBI		BOLD:ADW8915	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532767	Plagiorhynchidae			898861	Plagiorhynchus	898963	Plagiorhynchus transversus																																														
GBMNA12674-19	KT592358	9629672		KT592358	Mined from GenBank, NCBI		BOLD:ADS0066	11	Acanthocephala	709220	Polyacanthocephala	709221	Polyacanthorhynchida	532792	Polyacanthorhynchidae			655633	Polyacanthorhynchus	898964	Polyacanthorhynchus caballeroi																																														
GBSP0636-06	AY690488	488744			Mined from GenBank, NCBI		BOLD:AAA3856	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Apalachicola River,FL 29.7820 N, 85.0466 W											
GBSP0641-06	AY690493	488749			Mined from GenBank, NCBI		BOLD:AAA3858	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Ochlockonee River,FL 30.3833 N, 84.6559 W											
GBSP0672-06	AY690524	488780			Mined from GenBank, NCBI		BOLD:ABY6767	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0723-06	AY690575	488831			Mined from GenBank, NCBI		BOLD:AAA3865	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Louisiana	Pearl River,LA 30.2562 N, 89.6500 W											
GBSP13124-19	KY077092	10193412			Mined from GenBank, NCBI		BOLD:ADX8812	11	Acanthocephala	174812	Eoacanthocephala	174813	Neoechinorhynchida	174814	Neoechinorhynchidae			938969	Neoechinorhynchus	938974	Neoechinorhynchus mexicoensis																																														
GBSP13142-19	KM659336	10193430			Mined from GenBank, NCBI		BOLD:ADX5298	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25305	Oligacanthorhynchus	25306	Oligacanthorhynchus tortuosa					Leidy, 1850																																									
GBSP13175-19	KM659369	10193463			Mined from GenBank, NCBI		BOLD:ADW0275	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25305	Oligacanthorhynchus	25306	Oligacanthorhynchus tortuosa					Leidy, 1850																																									
GBSP13181-19	KM659375	10193469			Mined from GenBank, NCBI		BOLD:ADW0275	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25305	Oligacanthorhynchus	25306	Oligacanthorhynchus tortuosa					Leidy, 1850																																									
GBSP13262-19	KX688129	10193550			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			657218	Pseudocorynosoma	939134	Pseudocorynosoma anatarium																																														
GBSP13333-19	KJ819960	10193621			Mined from GenBank, NCBI		BOLD:ACQ5649	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Croatia													
